time,true_time,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
1662,5.550685,66.17504059,55.71892078,76.6311604,50.18378531,82.16629587
1663,5.553425,66.90214889,56.44466831,77.35962947,50.90881249,82.8954853
1664,5.556164,76.13920492,65.68036374,86.5980461,60.14378766,92.13462218
1665,5.558904,82.89019326,72.42999166,93.35039485,66.89269541,98.8876911
1666,5.561644,68.84198313,58.38042129,79.30354497,52.84240498,84.84156129
1667,5.564384,70.61379038,60.15086848,81.07671229,54.61213219,86.61544858
1668,5.567123,70.90841405,60.44413225,81.37269585,54.90467608,86.91215202
1669,5.569863,68.50702437,58.04138286,78.97266589,52.5012069,84.51284185
1670,5.572603,67.64841246,57.18141141,78.11541351,51.64051576,83.65630916
1671,5.575342,79.3280115,68.85965109,89.79637191,63.31803583,95.33798716
1672,5.578082,67.05958403,56.58986444,77.52930363,51.04752967,83.07163839
1673,5.580822,70.87019469,60.39911609,81.34127329,54.85606191,86.88432747
1674,5.583562,76.83206382,66.35962639,87.30450126,60.81585289,92.84827476
1675,5.586301,77.4493916,66.97559551,87.92318769,61.43110278,93.46768042
1676,5.589041,69.94962751,59.47447294,80.42478207,53.92926108,85.96999394
1677,5.591781,78.63175518,68.15524232,89.10826805,62.60931141,94.65419896
1678,5.594521,77.80130079,67.32342979,88.27917178,61.77677994,93.82582164
1679,5.59726,76.86658732,66.38735838,87.34581626,60.83998967,92.89318498
1680,5.6,65.01008751,54.52950079,75.49067423,48.98141332,81.0387617
1681,5.60274,70.10955186,59.62760754,80.59149617,54.0788014,86.14030232
1682,5.605479,81.25956484,70.7762631,91.74286658,65.22673839,97.2923913
1683,5.608219,68.77505407,58.29039509,79.25971306,52.74015189,84.80995626
1684,5.610959,78.92040462,68.43438856,89.40642068,62.88342697,94.95738227
1685,5.613699,74.11310001,63.62572706,84.60047296,58.07404717,90.15215285
1686,5.616438,66.76415062,56.27542095,77.25288029,50.72302285,82.80527838
