"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"5.142466",73.4704951536291,63.2191491216323,83.721841185626,57.7924143366211,89.1485759706372
"5.145205",78.0062301586834,67.7534961737825,88.2589641435843,62.326026650886,93.6864336664808
"5.147945",78.5701659639658,68.316044214028,88.8242877139036,62.8878400526972,94.2524918752344
"5.150685",76.0145406409055,65.7590313137217,86.2700499680893,60.3300926133671,91.6989886684439
"5.153425",76.5589962342218,66.3020995175068,86.8158929509367,60.8724263774984,92.2455660909451
"5.156164",72.1957005844663,61.9374166658586,82.4539845030739,56.5070091855265,87.884391983406
"5.158904",71.9937973730673,61.7341264401295,82.2534683060051,56.3029847187631,87.6846100273715
"5.161644",73.866348802021,63.6052910422393,84.1274065618026,58.173415179088,89.5592824249539
"5.164384",68.7278669075687,58.4654225083537,78.9903113067837,53.0328126026265,84.4229212125109
"5.167123",69.9585992067882,59.6947683554742,80.2224300581022,54.2614245063399,85.6557739072364
"5.169863",73.0354410866082,62.7702239704538,83.3006582027626,57.3361462770412,88.7347358961752
"5.172603",81.0957832193391,70.8291800255269,91.3623864131513,65.3943685869245,96.7971978517537
"5.175342",62.1700478371312,51.9020587527681,72.4380369214943,46.4665136680242,77.8735820062382
"5.178082",64.3416443843615,54.0722695964785,74.6110191722444,48.6359909646015,80.0472978041214
"5.180822",74.7217026084451,64.4509423039978,84.9924629128925,59.0139302239559,90.4294749929344
"5.183562",81.8480973739491,71.5759517398171,92.120243008081,66.1382063105385,97.5579884373597
"5.186301",74.4056066156163,64.1320758386039,84.6791373926287,58.6935971589766,90.117616072256
"5.189041",70.2180099713582,59.9430942381939,80.4929257045225,54.5038824070662,85.9321375356502
"5.191781",76.331744040614,66.055443537951,86.608044543277,60.615498654131,92.0479894270969
"5.194521",78.1283074886767,67.8506224030927,88.4059925742608,62.4099445653487,93.8466704120048
"5.197260",65.735612868504,55.4565433865011,76.0146823505069,50.0151326935615,81.4560930434465
"5.200000",71.7231980848487,61.442744392854,82.0036517768434,56.0006009434071,87.4457952262902
